FacilityPK,FacilityName,FacilityTypeDesc,FacilityBuildingNo,FacilityStreetName,FacilityAptNo,FacilityCity,FacilityState,FacilityZipcode,Latitude,Longitude,FacilityPhone,ContactPhone,ContactPhoneExt,ContactName,AdditionalInfo,PricingDesc1,PricingDesc2,PricingDesc3,PricingDesc4,PricingDesc5
4959,Rite Aid Pharmacy,Pharmacy,168,Montague Street,,Brooklyn,NY,11201,41,-74,(718) 522-2991,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4960,Rite Aid Pharmacy,Pharmacy,1535,2nd Avenue,,Manhattan,NY,10075,41,-74,(212) 327-4757,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4961,Rite Aid Pharmacy,Pharmacy,4123,Avenue D,,Brooklyn,NY,11203,41,-74,(718) 629-2275,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4962,Rite Aid Pharmacy,Pharmacy,1516,Westchester Avenue,,Bronx,NY,10472,41,-74,(718) 861-2359,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4963,Rite Aid Pharmacy,Pharmacy,239,East 198th Street,,Bronx,NY,10458,41,-74,(718) 933-1465,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4964,Rite Aid Pharmacy,Pharmacy,309,West 125th Street,,Manhattan,NY,10027,41,-74,(212) 961-1246,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4965,Rite Aid Pharmacy,Pharmacy,501,6th Avenue,,Manhattan,NY,10011,41,-74,(212) 727-3720,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4966,Rite Aid Pharmacy,Pharmacy,6101,18th Avenue,,Brooklyn,NY,11204,41,-74,(718) 236-0146,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4967,Rite Aid Pharmacy,Pharmacy,182,Smith Street,,Brooklyn,NY,11201,41,-74,(718) 246-4226,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4968,Rite Aid Pharmacy,Pharmacy,2063,Bartow Avenue,,Bronx,NY,10475,41,-74,(718) 379-8022,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4969,Rite Aid Pharmacy,Pharmacy,2324,Flatbush Avenue,,Brooklyn,NY,11234,41,-74,(718) 951-6869,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4970,Rite Aid Pharmacy,Pharmacy,408,Grand Street,,Manhattan,NY,10002,41,-74,(212) 529-7115,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4971,Rite Aid Pharmacy,Pharmacy,4232,BAYCHESTER AVE,,Bronx,NY,10466,41,-74,(718) 325-3100,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4972,Rite Aid Pharmacy,Pharmacy,911,Morris Park Avenue,,Bronx,NY,10462,41,-74,(718) 409-3005,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4973,Rite Aid Pharmacy,Pharmacy,4159,White Plains Road,,Bronx,NY,10466,41,-74,(718) 405-1394,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4974,Rite Aid Pharmacy,Pharmacy,7821,3rd Avenue,,Brooklyn,NY,11209,41,-74,(718) 630-5482,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4975,Rite Aid Pharmacy,Pharmacy,2007,86th Street,,Brooklyn,NY,11214,41,-74,(718) 373-8185,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4976,Rite Aid Pharmacy,Pharmacy,2158,White Plains Road,,Bronx,NY,10462,41,-74,(718) 892-2288,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4977,Rite Aid Pharmacy,Pharmacy,783,Manhattan Avenue,,Brooklyn,NY,11222,41,-74,(718) 383-6150,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4978,Rite Aid Pharmacy,Pharmacy,344,Avenue X,,Brooklyn,NY,11223,41,-74,(718) 375-8257,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4979,Rite Aid Pharmacy,Pharmacy,3040,Eastchester Road,,Bronx,NY,10469,41,-74,(718) 320-5101,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4980,Rite Aid Pharmacy,Pharmacy,5901,Bay Parkway,,Brooklyn,NY,11204,41,-74,(718) 236-6366,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4981,Rite Aid Pharmacy,Pharmacy,1179,East 233rd Street,,Bronx,NY,10466,41,-74,(718) 324-3668,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4982,Rite Aid Pharmacy,Pharmacy,1510,Saint Nicholas Avenue,,Manhattan,NY,10033,41,-74,(917) 521-7814,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4983,Rite Aid Pharmacy,Pharmacy,960,Halsey Street,,Brooklyn,NY,11233,41,-74,(718) 602-1607,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4984,Rite Aid Pharmacy,Pharmacy,6900,4th Avenue,,Brooklyn,NY,11209,41,-74,(718) 748-8184,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4985,Rite Aid Pharmacy,Pharmacy,2271,Richmond Avenue,,Staten Island,NY,10314,41,-74,(718) 698-0500,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4986,Rite Aid Pharmacy,Pharmacy,1419,Newkirk Avenue,,Brooklyn,NY,11226,41,-74,(718) 940-1794,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4987,Rite Aid Pharmacy,Pharmacy,892,Flatbush Avenue,,Brooklyn,NY,11226,41,-74,(718) 856-8841,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4988,Rite Aid Pharmacy,Pharmacy,185,Kings Highway,,Brooklyn,NY,11223,41,-74,(718) 331-2019,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4989,Rite Aid Pharmacy,Pharmacy,1950,Fulton Street,,Brooklyn,NY,11233,41,-74,(718) 493-0854,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4990,Rite Aid Pharmacy,Pharmacy,301,West 50th Street,,Manhattan,NY,10019,41,-74,(212) 247-8384,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4991,Rite Aid Pharmacy,Pharmacy,4102,Church Avenue,,Brooklyn,NY,11203,41,-74,(718) 940-1579,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4992,Rite Aid Pharmacy,Pharmacy,3901,WHITE PLAINS ROAD,,Bronx,NY,10466,41,-74,(718) 652-7150,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4993,Rite Aid Pharmacy,Pharmacy,9302,3rd Avenue,,Brooklyn,NY,11209,41,-74,(718) 491-0442,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4994,Rite Aid Pharmacy,Pharmacy,1679,Bedford Avenue,,Brooklyn,NY,11225,41,-74,(718) 282-7476,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4995,Rite Aid Pharmacy,Pharmacy,2155,THIRD AVENUE,,Manhattan,NY,10035,41,-74,(212) 534-9781,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4996,Rite Aid Pharmacy,Pharmacy,950,Southern Blvd,,Bronx,NY,10459,41,-74,(718) 991-1376,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4997,Rite Aid Pharmacy,Pharmacy,1720,Kings Highway,,Brooklyn,NY,11229,41,-74,(718) 998-3377,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4998,Rite Aid Pharmacy,Pharmacy,516,East 14th Street,,Manhattan,NY,10009,41,-74,(212) 979-1455,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4999,Rite Aid Pharmacy,Pharmacy,188,9th Avenue,,Manhattan,NY,10011,41,-74,(212) 727-9620,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5000,Rite Aid Pharmacy,Pharmacy,88,Featherbed Lane,,Bronx,NY,10452,41,-74,(718) 901-3811,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5001,Rite Aid Pharmacy,Pharmacy,81,1st Avenue,,Manhattan,NY,10003,41,-74,(212) 388-9348,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5002,Rite Aid Pharmacy,Pharmacy,1559,Flatbush Avenue,,Brooklyn,NY,11210,41,-74,(718) 434-5755,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5003,Rite Aid Pharmacy,Pharmacy,9738,Seaview Avenue,,Brooklyn,NY,11236,41,-74,(718) 968-1584,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5004,Rite Aid Pharmacy,Pharmacy,1849,2nd Avenue,,Manhattan,NY,10128,41,-74,(212) 828-8664,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5005,Rite Aid Pharmacy,Pharmacy,7,Madison Street,,Manhattan,NY,10038,41,-74,(212) 791-5795,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5006,Rite Aid Pharmacy,Pharmacy,5224,Fifth Avenue,,Brooklyn,NY,11220,41,-74,(718) 765-1833,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5007,Rite Aid Pharmacy,Pharmacy,282,8th Avenue,,Manhattan,NY,10001,41,-74,(212) 727-3854,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5008,Rite Aid Pharmacy,Pharmacy,901,EAST GUNHILL ROAD,,Bronx,NY,10469,41,-74,(718) 231-6677,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5009,Rite Aid Pharmacy,Pharmacy,2002,Avenue U,,Brooklyn,NY,11229,41,-74,(718) 769-2058,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5010,Rite Aid Pharmacy,Pharmacy,32,East 170th Street,,Bronx,NY,10452,41,-74,(718) 588-6825,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5011,Rite Aid Pharmacy,Pharmacy,57,East Burnside Avenue,,Bronx,NY,10453,41,-74,(718) 295-4533,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5012,Rite Aid Pharmacy,Pharmacy,1540,Grand Concourse,,Bronx,NY,10457,41,-74,(718) 731-8733,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5013,Rite Aid Pharmacy,Pharmacy,592,East 183rd Street,,Bronx,NY,10458,41,-74,(718) 220-2226,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5014,Rite Aid Pharmacy,Pharmacy,3539,Broadway,,Manhattan,NY,10031,41,-74,(212) 281-2183,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5015,Rite Aid Pharmacy,Pharmacy,27-07,Francis Lewis Blvd,,Queens,NY,11358,41,-74,(718) 352-7378,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5016,Rite Aid Pharmacy,Pharmacy,186-16,Union Turnpike,,Queens,NY,11366,41,-74,(718) 264-0319,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5017,Rite Aid Pharmacy,Pharmacy,39-20,Bell Blvd,,Queens,NY,11361,41,-74,(718) 224-2606,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5018,Rite Aid Pharmacy,Pharmacy,144-29,Northern Blvd,,Queens,NY,11354,41,-74,(718) 886-1515,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5019,Rite Aid Pharmacy,Pharmacy,119-04,Liberty Ave,,Queens,NY,11419,41,-74,(718) 835-2542,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5020,Rite Aid Pharmacy,Pharmacy,162-19,Hillside Avenue,,Queens,NY,11432,41,-74,(718) 739-3451,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5021,Rite Aid Pharmacy,Pharmacy,90-01,Sutphin Blvd,,Queens,NY,11435,41,-74,(718) 526-3824,,,,,$33.99 for Intradermal,$74.99 for Pneumonia Shot,$29.95 for Flu Shot,,
5022,Rite Aid Pharmacy,Pharmacy,115-10,Merrick Blvd,,Queens,NY,11434,41,-74,(718) 297-8350,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5023,Rite Aid Pharmacy,Pharmacy,122-02,Liberty Avenue,,Queens,NY,11419,41,-74,(718) 843-7001,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5024,Rite Aid Pharmacy,Pharmacy,109-07,101st Avenue,,Queens,NY,11419,41,-74,(718) 441-9311,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5025,Rite Aid Pharmacy,Pharmacy,1532,86th Street,,Brooklyn,NY,11228,41,-74,(718) 234-8444,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5026,Rite Aid Pharmacy,Pharmacy,4910,Broadway,,Manhattan,NY,10034,41,-74,(212) 569-2512,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5027,Rite Aid Pharmacy,Pharmacy,35,West 125TH Street,,Manhattan,NY,10027,41,-74,(212) 828-1772,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5028,Rite Aid Pharmacy,Pharmacy,542,Second Avenue,,Manhattan,NY,10016,41,-74,(212) 213-9887,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5043,Rite Aid Pharmacy,Pharmacy,71-18,Kissena Boulevard,,Queens,NY,11367,41,-74,(718) 793-3400,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
